city_id,teryt_code,city_name,year,avg_gross_monthly_wage_pln,attribute
1,2061000,Białystok,2002,2087.45,
1,2061000,Białystok,2003,2201.82,
1,2061000,Białystok,2004,2281.63,
1,2061000,Białystok,2005,2365.0,
1,2061000,Białystok,2006,2478.96,
1,2061000,Białystok,2007,2715.96,
1,2061000,Białystok,2008,2994.05,
1,2061000,Białystok,2009,3144.6,
1,2061000,Białystok,2010,3241.41,
1,2061000,Białystok,2011,3360.36,
1,2061000,Białystok,2012,3493.98,
1,2061000,Białystok,2013,3627.02,
1,2061000,Białystok,2014,3706.73,
1,2061000,Białystok,2015,3844.68,
1,2061000,Białystok,2016,3967.71,
1,2061000,Białystok,2017,4164.59,
1,2061000,Białystok,2018,4396.32,
1,2061000,Białystok,2019,4744.13,
1,2061000,Białystok,2020,5126.79,
1,2061000,Białystok,2021,5650.97,
1,2061000,Białystok,2022,6183.98,
1,2061000,Białystok,2023,7089.31,
1,2061000,Białystok,2024,8281.89,
1,2061000,Białystok,2025,9090.46,
2,0461000,Bydgoszcz,2002,2126.46,
2,0461000,Bydgoszcz,2003,2162.47,
2,0461000,Bydgoszcz,2004,2259.1,
2,0461000,Bydgoszcz,2005,2343.98,
2,0461000,Bydgoszcz,2006,2482.78,
2,0461000,Bydgoszcz,2007,2690.84,
2,0461000,Bydgoszcz,2008,2973.85,
2,0461000,Bydgoszcz,2009,3074.32,
2,0461000,Bydgoszcz,2010,3184.45,
2,0461000,Bydgoszcz,2011,3363.68,
2,0461000,Bydgoszcz,2012,3468.51,
2,0461000,Bydgoszcz,2013,3589.06,
2,0461000,Bydgoszcz,2014,3677.79,
2,0461000,Bydgoszcz,2015,3850.09,
2,0461000,Bydgoszcz,2016,3950.95,
2,0461000,Bydgoszcz,2017,4185.1,
2,0461000,Bydgoszcz,2018,4481.39,
2,0461000,Bydgoszcz,2019,4957.38,
2,0461000,Bydgoszcz,2020,5252.17,
2,0461000,Bydgoszcz,2021,5848.22,
2,0461000,Bydgoszcz,2022,6435.59,
2,0461000,Bydgoszcz,2023,7478.19,
2,0461000,Bydgoszcz,2024,8448.23,
2,0461000,Bydgoszcz,2025,9219.1,
3,2261000,Gdańsk,2002,2491.47,
3,2261000,Gdańsk,2003,2611.0,
3,2261000,Gdańsk,2004,2767.68,
3,2261000,Gdańsk,2005,3017.45,
3,2261000,Gdańsk,2006,3177.7,
3,2261000,Gdańsk,2007,3473.08,
3,2261000,Gdańsk,2008,3847.9,
3,2261000,Gdańsk,2009,4053.17,
3,2261000,Gdańsk,2010,4108.37,
3,2261000,Gdańsk,2011,4327.35,
3,2261000,Gdańsk,2012,4411.71,
3,2261000,Gdańsk,2013,4562.66,
3,2261000,Gdańsk,2014,4814.14,
3,2261000,Gdańsk,2015,4992.14,
3,2261000,Gdańsk,2016,5118.59,
3,2261000,Gdańsk,2017,5312.48,
3,2261000,Gdańsk,2018,5642.0,
3,2261000,Gdańsk,2019,6154.35,
3,2261000,Gdańsk,2020,6490.53,
3,2261000,Gdańsk,2021,7084.42,
3,2261000,Gdańsk,2022,7876.68,
3,2261000,Gdańsk,2023,8915.97,
3,2261000,Gdańsk,2024,10107.32,
3,2261000,Gdańsk,2025,10972.26,
4,2262000,Gdynia,2002,2423.41,
4,2262000,Gdynia,2003,2418.93,
4,2262000,Gdynia,2004,2658.04,
4,2262000,Gdynia,2005,2741.05,
4,2262000,Gdynia,2006,2914.02,
4,2262000,Gdynia,2007,3198.33,
4,2262000,Gdynia,2008,3493.85,
4,2262000,Gdynia,2009,3583.9,
4,2262000,Gdynia,2010,3662.62,
4,2262000,Gdynia,2011,3938.74,
4,2262000,Gdynia,2012,4067.07,
4,2262000,Gdynia,2013,4298.33,
4,2262000,Gdynia,2014,4457.62,
4,2262000,Gdynia,2015,4566.82,
4,2262000,Gdynia,2016,4798.54,
4,2262000,Gdynia,2017,5045.45,
4,2262000,Gdynia,2018,5347.46,
4,2262000,Gdynia,2019,5624.49,
4,2262000,Gdynia,2020,5848.66,
4,2262000,Gdynia,2021,6298.57,
4,2262000,Gdynia,2022,6985.73,
4,2262000,Gdynia,2023,7890.4,
4,2262000,Gdynia,2024,8999.18,
4,2262000,Gdynia,2025,9795.07,
5,2469000,Katowice,2002,2707.36,
5,2469000,Katowice,2003,3033.42,
5,2469000,Katowice,2004,3272.16,
5,2469000,Katowice,2005,3395.63,
5,2469000,Katowice,2006,3523.92,
5,2469000,Katowice,2007,3727.38,
5,2469000,Katowice,2008,4150.44,
5,2469000,Katowice,2009,4494.03,
5,2469000,Katowice,2010,4563.66,
5,2469000,Katowice,2011,5013.92,
5,2469000,Katowice,2012,4966.8,
5,2469000,Katowice,2013,5270.37,
5,2469000,Katowice,2014,5199.41,
5,2469000,Katowice,2015,5262.02,
5,2469000,Katowice,2016,5274.86,
5,2469000,Katowice,2017,5290.36,
5,2469000,Katowice,2018,5698.98,
5,2469000,Katowice,2019,6175.8,
5,2469000,Katowice,2020,6525.94,
