geography,geography_type,nbp_period,nbp_year,nbp_quarter,nbp_period_order,hedonic_qoq_index,hedonic_yoy_index,nbp_period_source
Białystok,city,2007Q1,2007,1,20071,117.5396396166473,,I 2007
Bydgoszcz,city,2007Q1,2007,1,20071,128.81097560975613,,I 2007
Katowice,city,2007Q1,2007,1,20071,129.48789308919402,,I 2007
Kielce,city,2007Q1,2007,1,20071,115.1500365077697,,I 2007
Kraków,city,2007Q1,2007,1,20071,95.46287997671078,,I 2007
Lublin,city,2007Q1,2007,1,20071,117.26892616894264,,I 2007
Olsztyn,city,2007Q1,2007,1,20071,100.65286692417514,,I 2007
Opole,city,2007Q1,2007,1,20071,,,I 2007
Poznań,city,2007Q1,2007,1,20071,106.92194403534607,,I 2007
Rzeszów,city,2007Q1,2007,1,20071,115.05235602094241,,I 2007
Szczecin,city,2007Q1,2007,1,20071,125.75404842201863,,I 2007
Trójmiasto,city_group,2007Q1,2007,1,20071,108.58893655313702,,I 2007
Warszawa,city,2007Q1,2007,1,20071,109.74151069485347,,I 2007
Wrocław,city,2007Q1,2007,1,20071,107.62540998113026,,I 2007
Zielona Góra,city,2007Q1,2007,1,20071,98.24347464355975,,I 2007
Łódź,city,2007Q1,2007,1,20071,145.69569963517526,,I 2007
Białystok,city,2008Q1,2008,1,20081,98.59512547691536,124.25183021678512,I 2008
Bydgoszcz,city,2008Q1,2008,1,20081,102.86885245901641,118.81656804733728,I 2008
Katowice,city,2008Q1,2008,1,20081,96.29622958194707,104.98814601811853,I 2008
Kielce,city,2008Q1,2008,1,20081,104.67425673869235,135.65525013409788,I 2008
Kraków,city,2008Q1,2008,1,20081,96.77581950068578,107.20706104637729,I 2008
Lublin,city,2008Q1,2008,1,20081,100.59482617802782,135.9072187023858,I 2008
Olsztyn,city,2008Q1,2008,1,20081,103.4792191636794,129.8846819588693,I 2008
Opole,city,2008Q1,2008,1,20081,97.69008640240341,,I 2008
Poznań,city,2008Q1,2008,1,20081,106.42201834862387,143.801652892562,I 2008
Rzeszów,city,2008Q1,2008,1,20081,91.421143847487,120.02275312855517,I 2008
Szczecin,city,2008Q1,2008,1,20081,100.23654615514543,117.14336660668441,I 2008
Trójmiasto,city_group,2008Q1,2008,1,20081,95.4403813014569,124.96538663607959,I 2008
Warszawa,city,2008Q1,2008,1,20081,98.95548119884957,113.56580792896736,I 2008
Wrocław,city,2008Q1,2008,1,20081,98.4362847808461,103.72684040044633,I 2008
Zielona Góra,city,2008Q1,2008,1,20081,98.79350968731721,136.61790719761285,I 2008
Łódź,city,2008Q1,2008,1,20081,95.54182444311719,114.92888484082104,I 2008
Białystok,city,2009Q1,2009,1,20091,96.3671875,96.7456891890241,I 2009
Bydgoszcz,city,2009Q1,2009,1,20091,98.41740850642928,99.1035856573705,I 2009
Katowice,city,2009Q1,2009,1,20091,84.1008252634739,118.95732112450257,I 2009
Kielce,city,2009Q1,2009,1,20091,94.5198404392907,95.60493438750831,I 2009
Kraków,city,2009Q1,2009,1,20091,89.60062221012024,88.02281690591475,I 2009
Lublin,city,2009Q1,2009,1,20091,100.283405850772,101.38877225307405,I 2009
Olsztyn,city,2009Q1,2009,1,20091,98.8902255088429,91.78991473834085,I 2009
Opole,city,2009Q1,2009,1,20091,84.51330479270347,86.92766367842795,I 2009
Poznań,city,2009Q1,2009,1,20091,97.45222929936304,87.9310344827586,I 2009
Rzeszów,city,2009Q1,2009,1,20091,95.56786703601108,98.10426540284361,I 2009
Szczecin,city,2009Q1,2009,1,20091,100.28076330051053,98.15577058580187,I 2009
Trójmiasto,city_group,2009Q1,2009,1,20091,101.54040203628465,97.70715394802248,I 2009
Warszawa,city,2009Q1,2009,1,20091,92.841675013117,91.79938644823928,I 2009
Wrocław,city,2009Q1,2009,1,20091,99.34734642314324,98.70405298253118,I 2009
Zielona Góra,city,2009Q1,2009,1,20091,102.26879437851449,95.18221848216825,I 2009
Łódź,city,2009Q1,2009,1,20091,94.3229280047523,96.70481624911129,I 2009
Białystok,city,2010Q1,2010,1,20101,103.74331550802138,98.2975273611674,I 2010
Bydgoszcz,city,2010Q1,2010,1,20101,95.9047619047619,101.20603015075378,I 2010
Katowice,city,2010Q1,2010,1,20101,111.22338737799787,107.98624662225697,I 2010
Kielce,city,2010Q1,2010,1,20101,99.06614844459779,103.23125853468775,I 2010
Kraków,city,2010Q1,2010,1,20101,105.92508413782072,112.23087519437505,I 2010
Lublin,city,2010Q1,2010,1,20101,98.24570841146823,100.39337469526339,I 2010
Olsztyn,city,2010Q1,2010,1,20101,99.92228597873101,101.56859375680666,I 2010
Opole,city,2010Q1,2010,1,20101,100.3977845148066,109.73863220752563,I 2010
Poznań,city,2010Q1,2010,1,20101,96.62162162162163,93.4640522875817,I 2010
Rzeszów,city,2010Q1,2010,1,20101,103.09777347531461,102.89855072463767,I 2010
Szczecin,city,2010Q1,2010,1,20101,96.55661182417842,95.04324862956804,I 2010
Trójmiasto,city_group,2010Q1,2010,1,20101,100.29650502358507,94.19190111887468,I 2010
Warszawa,city,2010Q1,2010,1,20101,102.76346440829876,103.76948260893859,I 2010
Wrocław,city,2010Q1,2010,1,20101,102.30811818271147,103.48992404685686,I 2010
Zielona Góra,city,2010Q1,2010,1,20101,104.21371998724929,98.1578508195622,I 2010
Łódź,city,2010Q1,2010,1,20101,101.75958247340316,99.4848519164361,I 2010
Białystok,city,2011Q1,2011,1,20111,99.48559670781893,99.69072164948454,I 2011
Bydgoszcz,city,2011Q1,2011,1,20111,101.84466019417475,104.1708043694141,I 2011
Katowice,city,2011Q1,2011,1,20111,101.44927536231884,95.21024711546123,I 2011
Kielce,city,2011Q1,2011,1,20111,101.97603404732136,105.01427959855427,I 2011
Kraków,city,2011Q1,2011,1,20111,106.17557267336359,101.80557104909511,I 2011
Lublin,city,2011Q1,2011,1,20111,102.28440240344081,106.00615927348535,I 2011
Olsztyn,city,2011Q1,2011,1,20111,104.41299790356393,101.17543392023605,I 2011
Opole,city,2011Q1,2011,1,20111,104.99529828863128,108.94621338419957,I 2011
Poznań,city,2011Q1,2011,1,20111,93.14082887172856,102.4765034965035,I 2011
Rzeszów,city,2011Q1,2011,1,20111,102.40518038852915,103.94366197183098,I 2011
Szczecin,city,2011Q1,2011,1,20111,98.55466888711285,99.11729898973974,I 2011
Trójmiasto,city_group,2011Q1,2011,1,20111,99.6673361383692,95.04917128908745,I 2011
Warszawa,city,2011Q1,2011,1,20111,98.28831194467104,97.05413471729842,I 2011
Wrocław,city,2011Q1,2011,1,20111,101.04032903834752,99.74008169693293,I 2011
Zielona Góra,city,2011Q1,2011,1,20111,98.0806142034549,105.25231719876417,I 2011
Łódź,city,2011Q1,2011,1,20111,106.4056779430312,103.86680305960967,I 2011
Białystok,city,2012Q1,2012,1,20121,103.84615384615385,103.30920372285419,I 2012
Bydgoszcz,city,2012Q1,2012,1,20121,95.68204121687928,92.94566253574833,I 2012
Katowice,city,2012Q1,2012,1,20121,99.00891972249752,95.14285714285715,I 2012
Kielce,city,2012Q1,2012,1,20121,98.40162754814035,98.2236205220602,I 2012
Kraków,city,2012Q1,2012,1,20121,105.53070340834805,100.62131436048507,I 2012
Lublin,city,2012Q1,2012,1,20121,96.27335978711993,95.27718057221057,I 2012
Olsztyn,city,2012Q1,2012,1,20121,99.86606222954873,97.30950707760265,I 2012
Opole,city,2012Q1,2012,1,20121,94.4580002916183,102.01125766498198,I 2012
Poznań,city,2012Q1,2012,1,20121,101.6344108129728,100.74660357641821,I 2012
Rzeszów,city,2012Q1,2012,1,20121,98.86363636363636,102.1680216802168,I 2012
Szczecin,city,2012Q1,2012,1,20121,105.6564298839139,92.49763124880938,I 2012
Trójmiasto,city_group,2012Q1,2012,1,20121,97.92639721746525,94.44562103492159,I 2012
Warszawa,city,2012Q1,2012,1,20121,99.46823976450679,99.33145881370564,I 2012
Wrocław,city,2012Q1,2012,1,20121,101.91339375629407,97.76512651090442,I 2012
Zielona Góra,city,2012Q1,2012,1,20121,121.74863387978144,109.00195694716244,I 2012
Łódź,city,2012Q1,2012,1,20121,99.16244442146626,94.75348285742517,I 2012
Białystok,city,2013Q1,2013,1,20131,100.98360655737706,92.49249249249249,I 2013
Bydgoszcz,city,2013Q1,2013,1,20131,100.5324813631523,96.82051282051283,I 2013
Katowice,city,2013Q1,2013,1,20131,96.29093383007327,95.03789865510734,I 2013
Kielce,city,2013Q1,2013,1,20131,96.73302711782416,92.54668385163185,I 2013
Kraków,city,2013Q1,2013,1,20131,93.38112074152968,87.8961678800976,I 2013
Lublin,city,2013Q1,2013,1,20131,97.56368602008726,93.70492104489291,I 2013
Olsztyn,city,2013Q1,2013,1,20131,98.41509433962264,94.17105127411533,I 2013
Opole,city,2013Q1,2013,1,20131,106.82039417691853,102.08146506829026,I 2013
Poznań,city,2013Q1,2013,1,20131,89.01774163211552,89.78899377242486,I 2013
Rzeszów,city,2013Q1,2013,1,20131,96.9298245614035,97.70114942528735,I 2013
Szczecin,city,2013Q1,2013,1,20131,95.75366583649108,95.60833205349243,I 2013
Trójmiasto,city_group,2013Q1,2013,1,20131,98.57350840606206,91.90126626783388,I 2013
Warszawa,city,2013Q1,2013,1,20131,98.90893800772031,94.07326541066415,I 2013
Wrocław,city,2013Q1,2013,1,20131,93.1842385516507,86.46245059288538,I 2013
Zielona Góra,city,2013Q1,2013,1,20131,97.7710233029382,86.62477558348294,I 2013
Łódź,city,2013Q1,2013,1,20131,95.97751818382191,90.8133472367049,I 2013
Białystok,city,2014Q1,2014,1,20141,101.19047619047619,101.19047619047619,I 2014
Bydgoszcz,city,2014Q1,2014,1,20141,97.72234273318871,95.44491525423727,I 2014
Katowice,city,2014Q1,2014,1,20141,107.4937022593982,104.68717725438201,I 2014
Kielce,city,2014Q1,2014,1,20141,99.48495363097493,101.69905267849488,I 2014
Kraków,city,2014Q1,2014,1,20141,96.57215109039208,97.3241860934773,I 2014
Lublin,city,2014Q1,2014,1,20141,100.81118747243664,100.50533760808608,I 2014
Olsztyn,city,2014Q1,2014,1,20141,99.11033958988824,100.07668711656441,I 2014
Opole,city,2014Q1,2014,1,20141,103.99116948459637,100.24506530205986,I 2014
Poznań,city,2014Q1,2014,1,20141,102.91435874691743,101.05895290275943,I 2014
Rzeszów,city,2014Q1,2014,1,20141,99.04430929626412,103.16742081447966,I 2014
Szczecin,city,2014Q1,2014,1,20141,102.14958040600222,102.27009325322108,I 2014
Trójmiasto,city_group,2014Q1,2014,1,20141,99.29350665920683,101.77538307513419,I 2014
Warszawa,city,2014Q1,2014,1,20141,98.75657757779905,98.38198213170422,I 2014
Wrocław,city,2014Q1,2014,1,20141,101.94285714285714,101.94285714285714,I 2014
Zielona Góra,city,2014Q1,2014,1,20141,90.70254306719114,96.27980680553378,I 2014
Łódź,city,2014Q1,2014,1,20141,105.22648083623693,104.03031346882534,I 2014
Białystok,city,2015Q1,2015,1,20151,101.87224669603525,98.93048128342245,I 2015
Bydgoszcz,city,2015Q1,2015,1,20151,101.07296137339057,104.55049944506105,I 2015
Katowice,city,2015Q1,2015,1,20151,101.20332006127452,105.42185215926673,I 2015
Kielce,city,2015Q1,2015,1,20151,98.68863107666222,96.99405816395665,I 2015
Kraków,city,2015Q1,2015,1,20151,99.65937191005627,105.9463077321378,I 2015
Lublin,city,2015Q1,2015,1,20151,97.74976122757484,99.00757569705247,I 2015
Olsztyn,city,2015Q1,2015,1,20151,105.12644467330358,100.56923918992885,I 2015
Opole,city,2015Q1,2015,1,20151,99.81877947641196,98.10398632426103,I 2015
Poznań,city,2015Q1,2015,1,20151,98.86559702653781,103.87098229885157,I 2015
Rzeszów,city,2015Q1,2015,1,20151,99.73913043478261,100.61403508771932,I 2015
Szczecin,city,2015Q1,2015,1,20151,99.41418833074133,99.38964886996634,I 2015
Trójmiasto,city_group,2015Q1,2015,1,20151,103.44988744234638,106.27227024230686,I 2015
Warszawa,city,2015Q1,2015,1,20151,98.65308575645444,101.98046186975918,I 2015
Wrocław,city,2015Q1,2015,1,20151,103.87685290763966,102.13004484304933,I 2015
Zielona Góra,city,2015Q1,2015,1,20151,104.69633413118378,103.07559775747777,I 2015
Łódź,city,2015Q1,2015,1,20151,101.7057321884428,96.74392935982341,I 2015
Białystok,city,2016Q1,2016,1,20161,100.65005417118094,100.43243243243242,I 2016
Bydgoszcz,city,2016Q1,2016,1,20161,100.52301255230125,102.01698513800423,I 2016
Katowice,city,2016Q1,2016,1,20161,102.542039567768,100.14307093880275,I 2016
Kielce,city,2016Q1,2016,1,20161,97.14838079157074,96.19913535614802,I 2016
Kraków,city,2016Q1,2016,1,20161,99.50487223484342,98.58242716183062,I 2016
Lublin,city,2016Q1,2016,1,20161,98.8841550010144,101.26704278810197,I 2016
Olsztyn,city,2016Q1,2016,1,20161,100.24760469372376,101.36061826493959,I 2016
Opole,city,2016Q1,2016,1,20161,96.38630327705087,99.54509652363157,I 2016
Poznań,city,2016Q1,2016,1,20161,100.1496007054308,101.2655615511237,I 2016
Rzeszów,city,2016Q1,2016,1,20161,99.6554694229113,100.871839581517,I 2016
Szczecin,city,2016Q1,2016,1,20161,102.11501207144576,99.26944541828769,I 2016
Trójmiasto,city_group,2016Q1,2016,1,20161,96.13713942168059,97.34228628933252,I 2016
Warszawa,city,2016Q1,2016,1,20161,98.62442683363379,100.49822703617947,I 2016
Wrocław,city,2016Q1,2016,1,20161,96.4818763326226,99.34138309549945,I 2016
Zielona Góra,city,2016Q1,2016,1,20161,95.51102537691266,99.91202939457436,I 2016
Łódź,city,2016Q1,2016,1,20161,100.83850218240296,100.15972618368511,I 2016
Białystok,city,2017Q1,2017,1,20171,97.16859743570035,103.23509759853202,I 2017
Bydgoszcz,city,2017Q1,2017,1,20171,101.10552763819094,104.68262226847034,I 2017
Katowice,city,2017Q1,2017,1,20171,100.44798195944425,99.70772369980024,I 2017
Kielce,city,2017Q1,2017,1,20171,100.59816914098027,97.45814314307557,I 2017
Kraków,city,2017Q1,2017,1,20171,103.1078638629724,111.55986749228211,I 2017
Lublin,city,2017Q1,2017,1,20171,98.41535433070867,102.57488715633976,I 2017
Olsztyn,city,2017Q1,2017,1,20171,99.50922863544223,100.1610824742268,I 2017
Opole,city,2017Q1,2017,1,20171,100.88435384970332,108.84307634278284,I 2017
Poznań,city,2017Q1,2017,1,20171,98.40296824505505,102.09821739710523,I 2017
Rzeszów,city,2017Q1,2017,1,20171,100.4288164665523,101.21002592912704,I 2017
Szczecin,city,2017Q1,2017,1,20171,101.07115870123715,107.7205407249461,I 2017
Trójmiasto,city_group,2017Q1,2017,1,20171,100.82470536126505,113.57692735246462,I 2017
Warszawa,city,2017Q1,2017,1,20171,102.88638470008755,105.39332535917889,I 2017
Wrocław,city,2017Q1,2017,1,20171,98.88324873096447,107.62430939226519,I 2017
Zielona Góra,city,2017Q1,2017,1,20171,100.73933662519904,105.51495322442412,I 2017
Łódź,city,2017Q1,2017,1,20171,102.12014134275617,102.05034741997949,I 2017
Białystok,city,2018Q1,2018,1,20181,100.45078164641164,104.25194196014473,I 2018
Bydgoszcz,city,2018Q1,2018,1,20181,101.33079847908743,105.96421471172962,I 2018
Katowice,city,2018Q1,2018,1,20181,104.78668210996243,111.5270085040812,I 2018
Kielce,city,2018Q1,2018,1,20181,100.45476816524487,103.51644523166068,I 2018
Kraków,city,2018Q1,2018,1,20181,98.41271738042171,98.18334708098273,I 2018
Lublin,city,2018Q1,2018,1,20181,99.69022265246853,102.990299029903,I 2018
Olsztyn,city,2018Q1,2018,1,20181,102.90478187919463,105.21067867481506,I 2018
Opole,city,2018Q1,2018,1,20181,97.4014818532104,98.43088967382782,I 2018
Poznań,city,2018Q1,2018,1,20181,101.6925637672265,104.59546433730766,I 2018
Rzeszów,city,2018Q1,2018,1,20181,107.28987993138936,106.83176771989753,I 2018
Szczecin,city,2018Q1,2018,1,20181,100.26120000046403,107.32775599730036,I 2018
Trójmiasto,city_group,2018Q1,2018,1,20181,100.91970036799593,109.17721231783734,I 2018
Warszawa,city,2018Q1,2018,1,20181,101.19381296547591,104.0961285407058,I 2018
Wrocław,city,2018Q1,2018,1,20181,101.93423597678917,108.2135523613963,I 2018
Zielona Góra,city,2018Q1,2018,1,20181,106.28101423448784,110.33929947702748,I 2018
Łódź,city,2018Q1,2018,1,20181,102.7600411946447,111.37403728094652,I 2018
Białystok,city,2019Q1,2019,1,20191,104.19646215613399,114.11424264467396,I 2019
Bydgoszcz,city,2019Q1,2019,1,20191,105.8362369337979,113.97748592870545,I 2019
Katowice,city,2019Q1,2019,1,20191,105.58352862862274,111.54372447525233,I 2019
