"Kod";"Nazwa";"Okresy";"Formy budownictwa";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"styczeń";"ogółem";"2005";3902;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2006";2761;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2007";8818;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2008";10091;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2009";5914;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2010";4450;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2011";6247;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2012";6728;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2013";4144;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2014";6473;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2015";7236;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2016";7229;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2017";11208;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2018";13949;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2019";13444;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2020";15891;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2021";17419;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2022";11800;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2023";9446;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2024";15720;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2025";17233;"-";"";
0000000;"POLSKA";"styczeń";"ogółem";"2026";12307;"-";"";
0000000;"POLSKA";"styczeń-luty";"ogółem";"2005";9368;"-";"";
0000000;"POLSKA";"styczeń-luty";"ogółem";"2006";7197;"-";"";
0000000;"POLSKA";"styczeń-luty";"ogółem";"2007";17008;"-";"";
0000000;"POLSKA";"styczeń-luty";"ogółem";"2008";22161;"-";"";
0000000;"POLSKA";"styczeń-luty";"ogółem";"2009";12235;"-";"";
0000000;"POLSKA";"styczeń-luty";"ogółem";"2010";11037;"-";"";
