city_id,nbp_period_id,primary_transaction_price_pln_m2,secondary_transaction_price_pln_m2,primary_transaction_yoy_pct,primary_yoy_4p_avg_pct,primary_momentum_change_pp,secondary_transaction_yoy_pct,secondary_yoy_4p_avg_pct,secondary_momentum_change_pp,primary_secondary_premium_pct,primary_transaction_methodology_break,primary_transaction_methodology_note,primary_premium_historical_median_pct,primary_premium_historical_min_pct,primary_premium_historical_max_pct,avg_gross_monthly_wage_pln,primary_annual_transaction_price_pln_m2,secondary_annual_transaction_price_pln_m2,primary_affordability_m2,secondary_affordability_m2,primary_affordability_yoy_pct,secondary_affordability_yoy_pct,primary_annual_price_yoy_pct,secondary_annual_price_yoy_pct,wage_yoy_pct,primary_affordability_2019_m2,secondary_affordability_2019_m2,sold_units,sold_units_per_1000,transactions,transactions_per_1000,avg_sold_area_m2,started,started_per_1000,completed,completed_per_1000,started_h1,completed_h1,started_h1_yoy_pct,completed_h1_yoy_pct,primary_premium_vs_historical_median_pp,primary_affordability_change_since_2019_pct,secondary_affordability_change_since_2019_pct,price_reference_period,affordability_reference_year,market_activity_reference_year,supply_reference_year,supply_h1_reference_year,pareto_favorable_secondary,secondary_price_rank_lowest,secondary_affordability_rank_highest,completed_supply_rank_highest,secondary_price_pressure_rank_lowest
1,20262,10926.218780942,9403.131809282217,4.48563696588713,1.9246065172738662,-8.181532434384888,-0.17664209662298092,0.6578058468041306,-13.318624121075054,16.19765629740808,False,,13.395127419385977,-1.5217602286644039,24.38788245393968,9090.46,10348.073492134024,9479.321585038813,0.8784688287061367,0.9589779098060611,7.619547942830529,2.5774569877948794,1.9917958461096008,7.005099221184508,9.76310962835778,0.8504589706003165,0.9154585411314442,4402.0,15.131983761133283,4395.0,15.107921088182822,49.15629259427533,1891.0,6.527780175017692,1693.0,5.844279130779985,1351.0,311.0,6.967537608867769,-72.23214285714286,2.8025288780221036,3.2934990486429783,4.75383283013886,2026Q2,2025,2024,2025,2026,True,9,9,12,4
2,20262,10774.886199051813,8341.867409677412,10.450537522138315,13.545043811084906,6.474033514500476,6.892201559167255,1.8644959664350813,-3.2718331573753145,29.166356522903403,False,,25.947045338068286,-1.2833677370262753,41.98659961613469,9219.1,9950.43141948026,7782.5,0.9265025415834223,1.1845936395759717,0.2112559402153158,8.802131881941587,8.894586923743187,0.2964108512146346,9.124633207192524,0.813752462245568,1.0072859539117216,4328.0,13.317578711567338,,,49.42185767097966,1756.0,5.445569117792994,1178.0,3.653120968542225,539.0,985.0,21.39639639639639,185.50724637681157,3.2193111848351172,13.855574584280571,17.602517435658527,2026Q2,2025,2024,2025,2026,False,4,2,14,11
3,20262,14490.6145771808,14034.641977208776,2.8979080150234315,7.61070438341952,-0.5509866765098295,4.612928420802986,4.471639879981143,-5.936951881575657,3.2489079572709523,False,,6.960697243505177,-5.167811564721358,34.87708479194058,10972.26,14142.416377835161,13363.950117693337,0.7758405428648234,0.8210341929870844,-1.3986052306360741,3.0119394190291082,10.097388091901816,5.383473872545319,8.55756026325476,0.7311406140045533,0.7946214310512266,10037.0,20.574621695084804,9985.0,20.468028058724897,53.412374215403005,5337.0,10.910540518439774,5750.0,11.754845040477553,3109.0,1618.0,-17.66419491525424,-26.253418413855968,-3.7117892862342243,6.11372532233474,3.3239428114738345,2026Q2,2025,2024,2025,2026,False,15,14,2,16
4,20262,12886.98208212585,12266.795259976028,-0.8712033392653362,3.173483981492287,-5.832232451720209,3.891305739682527,1.4936952466197861,-10.711979321560989,5.0558178318452995,False,,16.721063465711374,-1.098493867478334,39.905508937944845,9795.07,13246.876763752434,11784.178598583316,0.7394248602661082,0.8312051551202351,4.734971203565874,5.352076067312028,3.9232901490837246,3.314554467723929,8.84402801144104,0.691835019502581,0.7973346961243728,2676.0,11.12432135819816,,,55.69319880418535,1786.0,7.462655384936801,864.0,3.6101535568787217,1533.0,247.0,376.0869565217392,-16.554054054054056,-11.665245633866075,6.878784597770671,4.2479600048132005,2026Q2,2025,2024,2025,2026,False,13,13,16,9
5,20262,11840.14970595999,8101.69612802429,0.833197362121707,0.323361181156533,-12.632607462862174,-0.6447376809966987,1.4105917385782236,-8.164565786645014,46.14408537249561,False,,43.83058761092255,26.71687857044194,84.68384982272772,10801.86,11885.467285214052,8160.589806789118,0.9088292231840057,1.3236616783524036,3.8864768577232978,2.6643376433233,3.4443847251263815,4.67580979428015,7.464726798082677,0.9343236550211634,1.3302382233296317,5565.0,20.01150706605775,5710.0,20.532920996799596,52.78136567834681,3291.0,11.84307120956946,2334.0,8.399188150451268,1532.0,1420.0,-34.10752688172043,11.899133175728927,2.3134977615730605,-2.728651008689298,-0.4943885134173098,2026Q2,2025,2024,2025,2026,True,2,1,9,6
6,20262,10401.898854973932,8192.64608455164,7.665144224355713,3.3788700201748094,-10.780714624524354,2.2291938479605644,1.4904394167867419,-10.731231054647914,26.966290837195352,False,,21.730710365489703,-17.532161300786274,34.436147236832994,9008.73,9900.424621027254,8111.766150731651,0.9099336992947346,1.1105756542534755,4.659118830127662,6.050282420577724,4.800923444509131,3.426148897814918,9.683723002859956,0.9504204671629376,1.1634442014935145,2227.0,12.289540921908713,,,51.047148630444546,1120.0,6.2328180128440565,1045.0,5.815441806626821,785.0,493.0,56.37450199203187,-16.013628620102217,5.235580471705649,-4.259879628756158,-4.54414119492551,2026Q2,2025,2024,2025,2026,False,3,5,13,8
7,20262,15922.87703568673,14791.950641039952,1.4105936680913533,-0.48398421295795346,-14.05194103021966,-1.1093815996230938,-1.0848290420177626,-15.534469960351664,7.6455527880754826,False,,4.845912663875451,-3.012403427512955,38.30479080970848,11419.23,15644.821075091553,14999.031413066234,0.7299048001373947,0.761331161027656,7.544283906320959,7.072090533856534,1.5563711580962147,2.004239927196494,9.218072123220056,0.7539180086887678,0.7644935794037243,15120.0,18.721119701254516,14770.0,18.28776044891066,52.23219576719577,7962.0,9.82247498735489,7946.0,9.802736278513182,3573.0,4501.0,-33.99224090153334,64.81142438667156,2.7996401242000317,-3.185122025820486,-0.41366186208324773,2026Q2,2025,2024,2025,2026,False,16,16,6,2
8,20262,10889.14,10219.03,-0.8114248029279736,0.04319419190045859,-10.281055412120581,2.049675547096097,1.9584293507102057,-9.894700734159189,6.557471697411588,False,,6.519461320924536,-11.502859799106691,18.921888046415546,9288.09,11002.3125,10021.665,0.8441943455069105,0.926801085448376,5.441237963174994,4.092589092696719,3.541626278235044,4.883136740649152,9.175572554975165,0.8473803021868734,0.9029841314641631,5644.0,17.161900823430678,,,50.998051027639974,2155.0,6.582484177601837,2907.0,8.879480976468,1433.0,1433.0,10.999225406661495,53.426124197002146,0.03801037648705208,-0.37597719368042126,2.637582782943748,2026Q2,2025,2024,2025,2026,False,10,11,8,12
9,20262,10680.51,8940.509,6.849218042129612,8.904325611270137,0.27523845635089117,5.276675255137153,3.869364056442958,-6.805902819792541,19.461990363188498,False,,12.030250984180146,-29.79813260493782,28.917278780489486,9304.52,10043.432499999999,8614.25375,0.9264282903280329,1.0801307077818552,-1.3537492974327825,2.9348263481466796,9.507106493092143,4.944709813704273,8.024654808302945,0.8640965310550939,0.9814745917912882,2646.0,15.873111093780933,2696.0,16.173056503716325,51.58730158730159,1092.0,6.584064393596816,600.0,3.6176177986795697,336.0,778.0,-50.14836795252226,298.974358974359,7.431739379008352,7.213518054149537,10.051825774777301,2026Q2,2025,2024,2025,2026,False,6,6,15,14
10,20262,11624.601331814729,9215.276557318051,5.3213775635692295,3.792539579392881,-5.879315251728371,5.358730216408647,3.889997785065991,-8.3784712256308,26.1448992823051,False,,15.514616539844916,-14.369935875729823,30.892218500212575,9465.22,11166.635889473753,8880.864916275761,0.8476339780114442,1.0657993437838813,2.930033064929649,4.972357740382072,7.376289406645653,5.287194237838633,10.52245019015492,0.9470660819146446,1.0476435565926834,1500.0,11.922551108002416,1499.0,11.914602740597081,53.37466666666667,686.0,5.48383228746153,365.0,2.9177824853111636,277.0,323.0,53.8888888888889,95.75757575757575,10.630282742460185,-10.498961561603238,1.7330118700149333,2026Q2,2025,2024,2025,2026,False,7,8,17,15
