city_id,city_name,teryt_code,gus_name
1,Białystok,2061000,Powiat m. Białystok
2,Bydgoszcz,0461000,Powiat m. Bydgoszcz
3,Gdańsk,2261000,Powiat m. Gdańsk
4,Gdynia,2262000,Powiat m. Gdynia
5,Katowice,2469000,Powiat m. Katowice
6,Kielce,2661000,Powiat m. Kielce
7,Kraków,1261000,Powiat m. Kraków
8,Lublin,0663000,Powiat m. Lublin
9,Olsztyn,2862000,Powiat m. Olsztyn
10,Opole,1661000,Powiat m. Opole
11,Poznań,3064000,Powiat m. Poznań
12,Rzeszów,1863000,Powiat m. Rzeszów
13,Szczecin,3262000,Powiat m. Szczecin
14,Warszawa,1465000,Powiat m. st. Warszawa
15,Wrocław,0264000,Powiat m. Wrocław
16,Zielona Góra,0862000,Powiat m. Zielona Góra
17,Łódź,1061000,Powiat m. Łódź
