nbp_period_id,nbp_period,nbp_year,nbp_quarter
20063,2006Q3,2006,3
20064,2006Q4,2006,4
20071,2007Q1,2007,1
20072,2007Q2,2007,2
20073,2007Q3,2007,3
20074,2007Q4,2007,4
20081,2008Q1,2008,1
20082,2008Q2,2008,2
20083,2008Q3,2008,3
20084,2008Q4,2008,4
20091,2009Q1,2009,1
20092,2009Q2,2009,2
20093,2009Q3,2009,3
20094,2009Q4,2009,4
20101,2010Q1,2010,1
20102,2010Q2,2010,2
20103,2010Q3,2010,3
20104,2010Q4,2010,4
20111,2011Q1,2011,1
20112,2011Q2,2011,2
20113,2011Q3,2011,3
20114,2011Q4,2011,4
20121,2012Q1,2012,1
20122,2012Q2,2012,2
20123,2012Q3,2012,3
20124,2012Q4,2012,4
20131,2013Q1,2013,1
20132,2013Q2,2013,2
20133,2013Q3,2013,3
20134,2013Q4,2013,4
20141,2014Q1,2014,1
20142,2014Q2,2014,2
20143,2014Q3,2014,3
20144,2014Q4,2014,4
20151,2015Q1,2015,1
20152,2015Q2,2015,2
20153,2015Q3,2015,3
20154,2015Q4,2015,4
20161,2016Q1,2016,1
20162,2016Q2,2016,2
20163,2016Q3,2016,3
20164,2016Q4,2016,4
20171,2017Q1,2017,1
20172,2017Q2,2017,2
20173,2017Q3,2017,3
20174,2017Q4,2017,4
20181,2018Q1,2018,1
20182,2018Q2,2018,2
20183,2018Q3,2018,3
20184,2018Q4,2018,4
20191,2019Q1,2019,1
20192,2019Q2,2019,2
20193,2019Q3,2019,3
20194,2019Q4,2019,4
20201,2020Q1,2020,1
20202,2020Q2,2020,2
20203,2020Q3,2020,3
20204,2020Q4,2020,4
20211,2021Q1,2021,1
20212,2021Q2,2021,2
20213,2021Q3,2021,3
20214,2021Q4,2021,4
20221,2022Q1,2022,1
20222,2022Q2,2022,2
20223,2022Q3,2022,3
20224,2022Q4,2022,4
20231,2023Q1,2023,1
20232,2023Q2,2023,2
20233,2023Q3,2023,3
20234,2023Q4,2023,4
20241,2024Q1,2024,1
20242,2024Q2,2024,2
20243,2024Q3,2024,3
20244,2024Q4,2024,4
20251,2025Q1,2025,1
20252,2025Q2,2025,2
20253,2025Q3,2025,3
20254,2025Q4,2025,4
20261,2026Q1,2026,1
20262,2026Q2,2026,2
